mainFrameColor,184,166,226
jButton1,2,109,233
jButton2,145,106,142
jButton3,193,69,96
jButton4,140,203,11
jButton5,136,223,114
jButton6,4,175,26
jButton7,64,169,115
jButton8,51,195,159
jButton9,113,169,97
jButton10,151,233,91
jButton11,58,224,178
jButton12,128,140,165
jButton13,139,2,119
jButton14,150,80,91
jButton15,116,61,6
jButton16,120,142,248
jButton17,69,131,242
jButton18,112,77,108
jTextField1,142,80,111
jTextField1TextColor,136,66,15
jLabel1,89,130,216
jPanel1,161,131,104
jPanel2,158,239,247
jPanel3,89,14,128
jPanel4,204,133,55
jPanel5,104,35,106
